Date,Component,Avg_Price,Source
2/13/2021,2TB_NVME_GEN4,349.99,Pangoly_History
2/14/2021,2TB_NVME_GEN4,356.99,Pangoly_History
2/15/2021,2TB_NVME_GEN4,349.99,Pangoly_History
2/16/2021,2TB_NVME_GEN4,359.49,Pangoly_History
2/17/2021,2TB_NVME_GEN4,350.44,Pangoly_History
2/18/2021,2TB_NVME_GEN4,350.44,Pangoly_History
2/19/2021,2TB_NVME_GEN4,350.44,Pangoly_History
2/20/2021,2TB_NVME_GEN4,350.44,Pangoly_History
2/21/2021,2TB_NVME_GEN4,352.49,Pangoly_History
2/22/2021,2TB_NVME_GEN4,349.22,Pangoly_History
2/23/2021,2TB_NVME_GEN4,349.6,Pangoly_History
2/24/2021,2TB_NVME_GEN4,349.22,Pangoly_History
2/25/2021,2TB_NVME_GEN4,349.22,Pangoly_History
2/26/2021,2TB_NVME_GEN4,349.22,Pangoly_History
2/27/2021,2TB_NVME_GEN4,349.22,Pangoly_History
2/28/2021,2TB_NVME_GEN4,349.22,Pangoly_History
3/1/2021,2TB_NVME_GEN4,356.35,Pangoly_History
3/2/2021,2TB_NVME_GEN4,355.44,Pangoly_History
3/3/2021,2TB_NVME_GEN4,355.44,Pangoly_History
3/4/2021,2TB_NVME_GEN4,355.44,Pangoly_History
3/5/2021,2TB_NVME_GEN4,355.44,Pangoly_History
3/6/2021,2TB_NVME_GEN4,355.44,Pangoly_History
3/7/2021,2TB_NVME_GEN4,355.44,Pangoly_History
3/8/2021,2TB_NVME_GEN4,353.63,Pangoly_History
3/9/2021,2TB_NVME_GEN4,353.63,Pangoly_History
3/10/2021,2TB_NVME_GEN4,353.63,Pangoly_History
3/11/2021,2TB_NVME_GEN4,353.63,Pangoly_History
3/12/2021,2TB_NVME_GEN4,353.63,Pangoly_History
3/13/2021,2TB_NVME_GEN4,336.65,Pangoly_History
3/14/2021,2TB_NVME_GEN4,336.65,Pangoly_History
3/15/2021,2TB_NVME_GEN4,336.65,Pangoly_History
3/16/2021,2TB_NVME_GEN4,336.65,Pangoly_History
3/17/2021,2TB_NVME_GEN4,336.65,Pangoly_History
3/18/2021,2TB_NVME_GEN4,336.65,Pangoly_History
3/19/2021,2TB_NVME_GEN4,336.65,Pangoly_History
3/20/2021,2TB_NVME_GEN4,336.65,Pangoly_History
3/21/2021,2TB_NVME_GEN4,336.65,Pangoly_History
3/22/2021,2TB_NVME_GEN4,336.65,Pangoly_History
